"target_symbol","n_mirnas"
"SRSF7",8
"SSBP2",8
"STK17B",8
"SULT1B1",8
"SURF4",8
"TGFB1",8
"THAP6",8
"TMED4",8
"TMEM30A",8
"TNKS2",8
"TRAPPC2",8
"TRPC3",8
"TWF1",8
"UBB",8
"UBE2D3",8
"UBE2N",8
"UGDH",8
"USP6NL",8
"VLDLR",8
"VPS37A",8
"ZBTB8A",8
"ZNF202",8
"ZNF207",8
"ZNF277",8
"ZNF800",8
"ZNFX1",8
