"miRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"hsa-miR-21-5p",944485.65926574,1.28164905167628,0.15660604181768,8.18390553008398,2.74789526612641e-16,3.00683155081909e-15,"Up"
"hsa-miR-93-3p",106.071223448723,1.19061125131457,0.145651150532813,8.17440333948032,2.97333587975985e-16,3.1921285199686e-15,"Up"
"hsa-miR-196a-5p",199.792323246912,3.76266550839876,0.461061858641539,8.16086917162263,3.32622293034446e-16,3.50485342104815e-15,"Up"
"hsa-miR-224-5p",3577.41326222911,2.37431021719225,0.291272269303897,8.15151481075265,3.59393653258928e-16,3.71809070371509e-15,"Up"
"hsa-miR-101-3p",13400.5305863523,-1.3082423609304,0.161330544500134,-8.10908042853174,5.10042791763796e-16,5.1823990806e-15,"Down"
"hsa-miR-362-5p",763.095844080063,1.11027267328276,0.137550587749103,8.07174066975227,6.93029527673742e-16,6.91813686397121e-15,"Up"
"hsa-miR-500a-3p",1882.43296187353,1.04839578938854,0.130535845750261,8.03147812283159,9.63052488427017e-16,9.44787699853401e-15,"Up"
"hsa-miR-216a-5p",273.897758035053,3.19061751282746,0.39864031196318,8.00375029086913,1.2068600554161e-15,1.16390401954536e-14,"Up"
"hsa-miR-210-3p",669.738586257963,1.966307621497,0.246478182876388,7.97761326601119,1.49189979189831e-15,1.41481830265023e-14,"Up"
"hsa-miR-660-5p",3967.59501842,0.862888355622581,0.108716344102826,7.937061927013,2.07026699784135e-15,1.93111790454381e-14,"NS"
"hsa-miR-550a-5p",27.2914777292464,1.43979756398146,0.18220934873903,7.90188634087933,2.74713866154884e-15,2.48114587050999e-14,"Up"
"hsa-miR-96-5p",493.384426502927,2.19416490595838,0.277660630871349,7.90232630053709,2.7374566358795e-15,2.48114587050999e-14,"Up"
"hsa-miR-10b-5p",78415.0233760576,1.88417271909796,0.239400947007152,7.87036451882403,3.53609416721282e-15,3.14380872053765e-14,"Up"
"hsa-miR-217",61.2481059328089,3.18594627146568,0.406720916785148,7.83324913960271,4.75420908553463e-15,4.16176149179878e-14,"Up"
"hsa-miR-125b-5p",11939.3094233028,-1.30088547273421,0.166240623647309,-7.82531636487434,5.0638185804078e-15,4.36562541250309e-14,"Down"
"hsa-miR-629-5p",108.499991407371,1.50504528558617,0.193304575798025,7.78587511119612,6.92323125258274e-15,5.87957997420833e-14,"Up"
"hsa-miR-501-3p",1376.17540760524,1.07074392893815,0.138376331973484,7.73791235587404,1.01062472451215e-14,8.36477796777944e-14,"Up"
"hsa-miR-221-5p",141.076039254663,1.14574862876622,0.148078449966801,7.73744342288226,1.01435796094338e-14,8.36477796777944e-14,"Up"
"hsa-miR-106b-5p",1100.57533344754,1.17115757167584,0.151770748079087,7.7166225145412,1.19452754895123e-14,9.70980250504641e-14,"Up"
"hsa-miR-31-3p",306.665697402008,3.65847748470746,0.480111797931288,7.62005328856977,2.53571013305034e-14,2.03213952916288e-13,"Up"
"hsa-miR-10a-5p",169209.671447893,-1.26608771256426,0.167334242724632,-7.5662201110131,3.84240772525939e-14,3.03656943843416e-13,"Down"
"hsa-miR-548ay-5p",28.921205888715,1.20108795956813,0.159005684135738,7.55374228346958,4.22926647049153e-14,3.2965104406982e-13,"Up"
"hsa-miR-130b-3p",847.839578362103,1.41293582326783,0.187201289623807,7.54768210254967,4.43072791184287e-14,3.4068705159981e-13,"Up"
"hsa-miR-25-3p",18337.6932294986,0.952198709229039,0.127246081284386,7.48312796447495,7.25741522818331e-14,5.50595901978174e-13,"NS"
"hsa-miR-15b-3p",161.154395776788,1.55693871224383,0.208310374366865,7.47412949055448,7.77165849935911e-14,5.8185180080728e-13,"Up"
"hsa-miR-452-5p",355.982448370839,1.92084593773591,0.260116335556369,7.38456480877053,1.5295283991644e-13,1.13026189496694e-12,"Up"
"hsa-miR-4677-5p",8.10551693879564,1.15586212820763,0.157841025120479,7.32295122466018,2.42575988581465e-13,1.76956073721607e-12,"Up"
"hsa-miR-942-5p",66.0058255366841,1.40437182497793,0.192028202809593,7.3133623313157,2.60539225431846e-13,1.87654201608507e-12,"Up"
"hsa-miR-30c-2-3p",123.321805866148,-1.28253729529088,0.176420905305612,-7.26975804295501,3.60131963726897e-13,2.56143859200756e-12,"Down"
"hsa-miR-502-5p",26.4993597046915,1.37100289340399,0.189634059157295,7.22972919261719,4.8395810828058e-13,3.39965634088457e-12,"Up"
"hsa-miR-106b-3p",612.37889246662,1.13485214336031,0.159182317036086,7.12926011186936,1.00909880375968e-12,7.00216121145438e-12,"Up"
"hsa-miR-99a-5p",174590.664812189,-1.25791290775688,0.176628665972415,-7.12179362750402,1.06531489545472e-12,7.23173945689851e-12,"Down"
"hsa-miR-128-3p",2316.22600580154,1.01862091549265,0.143034642237102,7.12149797812012,1.0676030129692e-12,7.23173945689851e-12,"Up"
"hsa-miR-423-3p",16978.9633502969,0.742253736535109,0.104391687825153,7.11027622983089,1.15810929430358e-12,7.75251986422044e-12,"NS"
"hsa-miR-195-5p",4794.53493451945,-1.31338188411526,0.186924879019334,-7.0262550978001,2.12150438926979e-12,1.40364650871455e-11,"Down"
"hsa-miR-190b",143.633147371421,2.39699951153939,0.342213037058975,7.00440734853214,2.48033494973664e-12,1.62219607632201e-11,"Up"
"hsa-miR-616-5p",34.9415950099106,1.37441485208903,0.196859928621773,6.98168927374597,2.91651633018358e-12,1.88579294531188e-11,"Up"
"hsa-miR-98-5p",9255.94943526174,1.1203458052796,0.160752816247168,6.96936969089854,3.18364099069601e-12,2.03538395922026e-11,"Up"
"hsa-miR-1292-5p",18.5658375029301,1.40123989579339,0.201571942957917,6.95156218286753,3.61263104516964e-12,2.28398562744614e-11,"Up"
"hsa-miR-378a-3p",23714.6958786336,-1.31533305211314,0.190723596740626,-6.89654072485813,5.32840952034347e-12,3.331719798984e-11,"Down"
"hsa-miR-574-5p",1396.49782859414,1.27075923551246,0.185542673225584,6.84887855403194,7.44311490368741e-12,4.60340476108493e-11,"Up"
"hsa-miR-148b-5p",195.058354552595,1.14803612749475,0.167738956261983,6.84418308709212,7.69135026397504e-12,4.70578311849656e-11,"Up"
"hsa-miR-766-3p",189.708110173455,1.16865866613762,0.170891975660666,6.83858128282266,7.99812793566125e-12,4.84141999509708e-11,"Up"
"hsa-miR-942-3p",13.1325264739676,1.67392436945436,0.245411473365486,6.82088879749082,9.04789613031729e-12,5.41921357700056e-11,"Up"
"hsa-miR-31-5p",1323.0399579645,2.7308059302924,0.400547609725466,6.817681254331,9.25216363050776e-12,5.48383448516554e-11,"Up"
"hsa-miR-3117-3p",21.5091566693182,1.89852577778971,0.279733490486089,6.78690912014383,1.1456132098199e-11,6.72014346791262e-11,"Up"
"hsa-miR-5589-3p",29.9842879874011,-2.10035642488162,0.310334889910432,-6.76803186869455,1.3054600594533e-11,7.57966095743805e-11,"Down"
"hsa-miR-330-5p",125.40620386641,1.23088283334433,0.182062625959003,6.76076612023325,1.37263951995766e-11,7.88921097834248e-11,"Up"
"hsa-let-7c-3p",14.1939078540284,-1.40763631553874,0.210504388307485,-6.6869689836708,2.27840143273125e-11,1.29641041522408e-10,"Down"
"hsa-miR-130b-5p",283.451195610311,1.33356788323422,0.199956012645258,6.66930624186882,2.57015449443174e-11,1.44793852211055e-10,"Up"
"hsa-miR-129-5p",40.5683725497961,2.90367524430134,0.43805930179378,6.62849808784169,3.39119515725014e-11,1.89175494556405e-10,"Up"
"hsa-miR-5589-5p",62.6297524847054,-2.27615614316566,0.344561758368023,-6.60594534328596,3.94988608732722e-11,2.18202445018368e-10,"Down"
"hsa-miR-378c",285.745238573734,-1.16931987827316,0.177944501652157,-6.57126164290778,4.98907022785834e-11,2.72959707658788e-10,"Down"
"hsa-miR-551b-3p",49.3596220012111,2.44618452683026,0.37286616609001,6.56048939082273,5.36314705395664e-11,2.9063149273346e-10,"Up"
"hsa-miR-9-5p",1411.85657728674,2.38139278010415,0.364009864806934,6.54211055891909,6.06566325125415e-11,3.25600225468265e-10,"Up"
"hsa-miR-92b-3p",3101.33671056548,1.62844184218458,0.250949060546937,6.48913304809923,8.63317032942388e-11,4.590910203217e-10,"Up"
"hsa-let-7c-5p",20595.4860601308,-1.11928178019168,0.172591845210453,-6.48513710961753,8.86511287744565e-11,4.67060113635794e-10,"Down"
"hsa-miR-20b-5p",215.881031897368,1.5779095266854,0.246414240356858,6.40348351783674,1.51871257359942e-10,7.9279582970465e-10,"Up"
"hsa-miR-652-3p",8368.7268690222,0.913577255558072,0.143052012442191,6.38632927954969,1.6991492744779e-10,8.78923579252658e-10,"NS"
"hsa-miR-145-3p",654.904879699908,-1.09931593209138,0.172455235701646,-6.37450018620041,1.83560593216718e-10,9.40954752615427e-10,"Down"
"hsa-miR-1295a",14.4548485007667,1.93401305085087,0.303899191685067,6.36399537664812,1.96572059101599e-10,9.98656264542947e-10,"Up"
"hsa-miR-92b-5p",23.9630226088445,2.36956878053132,0.373885810868328,6.3376804137823,2.33250010561003e-10,1.174506690347e-09,"Up"
"hsa-miR-3529-3p",158.451793953146,1.50404359269899,0.237867683465874,6.32302619163807,2.56489805342496e-10,1.2801991161393e-09,"Up"
"hsa-miR-324-5p",395.115340603665,0.866677038635372,0.138220503145292,6.27024948479859,3.6047006699075e-10,1.7835432010238e-09,"NS"
"hsa-miR-135b-5p",1014.75567696832,2.19349832566266,0.350102062095977,6.26531107109371,3.72081877747375e-10,1.82512576239876e-09,"Up"
"hsa-miR-652-5p",18.130897191967,1.41873817657629,0.226603247710102,6.26089074588779,3.82784645537855e-10,1.86157660949607e-09,"Up"
"hsa-miR-7704",150.557557385209,-1.72245454080739,0.277012419532097,-6.21796865179114,5.03632142100698e-10,2.42853126148557e-09,"Down"
"hsa-miR-30a-5p",37063.8420508458,-1.1633867715384,0.188506609524801,-6.17159671202583,6.76037585937199e-10,3.20554488665222e-09,"Down"
"hsa-miR-29c-3p",5372.01516377302,-0.960667465876866,0.155642167144655,-6.1722827656596,6.73109773104429e-10,3.20554488665222e-09,"NS"
"hsa-miR-378a-5p",644.574793333633,-1.11953028898768,0.182130542764542,-6.14685638111233,7.90336285495526e-10,3.71654005328061e-09,"Down"
"hsa-miR-323a-3p",108.88223385233,1.94348819718011,0.316943329146935,6.1319738213487,8.6795388760254e-10,4.04808001676922e-09,"Up"
"hsa-miR-483-3p",1694.46823366955,2.89602309234026,0.472400204709178,6.13044419428889,8.76340528384768e-10,4.05396553374742e-09,"Up"
"hsa-miR-21-3p",10016.8333691976,1.09982643289146,0.182623619376352,6.02236685839047,1.71884750039179e-09,7.88729215905589e-09,"Up"
"hsa-miR-30e-3p",3393.30149055565,-0.80688267173507,0.134471217598476,-6.0004117323038,1.96817819067308e-09,8.95914712394386e-09,"NS"
"hsa-miR-2277-3p",18.7107550316294,1.03378910669025,0.172340128768489,5.99853971374811,1.99099830623951e-09,8.99109552579587e-09,"Up"
"hsa-miR-17-5p",3363.17602192441,0.991303174219717,0.165617403917308,5.98550122615537,2.15724497194076e-09,9.66513692152985e-09,"NS"
"hsa-miR-3679-5p",9.44517733138317,1.14903018466798,0.193355249860332,5.94258591632742,2.80560519469427e-09,1.24717918420394e-08,"Up"
"hsa-miR-151a-3p",18931.458554549,0.814090459479002,0.137025481543668,5.94116109141029,2.83010330438733e-09,1.24831688387317e-08,"NS"
"hsa-miR-30a-3p",2068.08355493421,-1.02533942794684,0.172650235555261,-5.93882437894881,2.87073183107497e-09,1.25649723990897e-08,"Down"
"hsa-miR-148b-3p",4988.35649844517,0.745343966097009,0.125655492867762,5.93164651290971,2.99911768202386e-09,1.30267019929128e-08,"NS"
"hsa-miR-5001-3p",12.8500977820959,1.22909820138027,0.208043883259998,5.90787954022295,3.46539257506812e-09,1.49379422364679e-08,"Up"
"hsa-miR-532-3p",279.040478078044,1.01644419921735,0.174572390119385,5.82247970897476,5.79808411022594e-09,2.46601694838031e-08,"Up"
"hsa-miR-188-5p",63.8819224558781,1.15420996173715,0.198242624621676,5.82220884100899,5.80749158318034e-09,2.46601694838031e-08,"Up"
"hsa-miR-1303",127.949706530457,1.21788517278208,0.210762847269469,5.77846232654546,7.53864191232577e-09,3.17739796156545e-08,"Up"
"hsa-miR-125b-2-3p",1621.68700120399,-0.983060252919709,0.171501622924659,-5.73207551132954,9.92090843290308e-09,4.15073301347195e-08,"NS"
"hsa-miR-197-3p",1265.18383998926,0.845542915562111,0.147845547310275,5.71909625243984,1.07092120585492e-08,4.44784062869669e-08,"NS"
"hsa-miR-214-3p",2446.51578479531,-1.24089319603032,0.217877674686672,-5.69536643813935,1.23107226122166e-08,5.07594287416756e-08,"Down"
"hsa-miR-3064-5p",7.54522667959999,0.999185178471083,0.175685193013302,5.68736136115596,1.29017265877132e-08,5.2221054560229e-08,"NS"
"hsa-miR-25-5p",53.8369415783233,1.3284760455528,0.233564242278756,5.68784002461853,1.28656257362664e-08,5.2221054560229e-08,"Up"
"hsa-miR-4484",30.8407540679912,-1.49034317845487,0.262068397061498,-5.6868481479098,1.29405425184399e-08,5.2221054560229e-08,"Down"
"hsa-miR-548ap-5p",37.2027062016946,1.44229032282404,0.254608512494214,5.66473724187369,1.47250002572203e-08,5.90036982137913e-08,"Up"
"hsa-miR-199a-5p",8347.69419966644,-1.34515307313104,0.237523750943662,-5.6632360670748,1.48544578026e-08,5.91061992285272e-08,"Down"
"hsa-miR-3909",94.0439019931002,1.19724830974443,0.211771155010209,5.65350040087714,1.57212744809419e-08,6.21208693031663e-08,"Up"
